language,model,year,response,response1,response2,response3,response4,response5,response6,response7
Korean,anthropic,610," 610년에 일어난 다섯 가지 중요한 역사적 사건:

1. 유비쿼터리 주교회의
2. 콘치라우스 교황착좌 
3. 프랑크 왕국의 클로타르 2세 사망
4. 비잔틴 제국의 프코아스 황제 사망
5. 삼국시대의 신라 선덕여왕 즉위", 610년에 일어난 다섯 가지 중요한 역사적 사건:,1. 유비쿼터리 주교회의,2. 콘치라우스 교황착좌 ,3. 프랑크 왕국의 클로타르 2세 사망,4. 비잔틴 제국의 프코아스 황제 사망,5. 삼국시대의 신라 선덕여왕 즉위,
Korean,anthropic,610," 610년에 일어난 중대한 역사적 사건 다섯 가지:

1. 유형의 난 
2. 황제 광화제의 즉위
3. 이슬람교 설립 
4. 비잔틴 제국의 황제 이어클리우스 1세의 즉위
5. 세르비아 왕국 설립", 610년에 일어난 중대한 역사적 사건 다섯 가지:,1. 유형의 난 ,2. 황제 광화제의 즉위,3. 이슬람교 설립 ,4. 비잔틴 제국의 황제 이어클리우스 1세의 즉위,5. 세르비아 왕국 설립,
Korean,anthropic,800," 800년대에 일어난 중대한 5가지 역사적 사건:

1. 카롤링건 제국의 분열 (843년)

2. 베르샤유 조약 (843년) 

3. 아랍인의 크레타 정복 (825-961년)

4. 유럽 내 노르만인 정복 (9세기)

5. 할리팩스 성당 건립 (800년)", 800년대에 일어난 중대한 5가지 역사적 사건:,1. 카롤링건 제국의 분열 (843년),2. 베르샤유 조약 (843년) ,3. 아랍인의 크레타 정복 (825-961년),4. 유럽 내 노르만인 정복 (9세기),5. 할리팩스 성당 건립 (800년),
Korean,anthropic,800," 800년에 일어난 중요한 5개의 역사적 사건들:

1. 샤를마뉴 제국의 분열 
2. 이슬람의 확장 
3. 신라와 당나라의 전쟁
4. 바이킹의 기슭 침입
5. 동로마 제국의 몰락", 800년에 일어난 중요한 5개의 역사적 사건들:,1. 샤를마뉴 제국의 분열 ,2. 이슬람의 확장 ,3. 신라와 당나라의 전쟁,4. 바이킹의 기슭 침입,5. 동로마 제국의 몰락,
Korean,anthropic,800," 800년대 중요한 5가지 역사적 사건:

1. 카롤링 대제국의 분할(843년)

2. 통일 신라의 꽃, 흥덕왕의 즉위(826년)

3. 아바스 왕조의 성립(750년)

4. 백색 테러의 발발(796-804년) 

5. 달마 대사의 입적(820년)", 800년대 중요한 5가지 역사적 사건:,1. 카롤링 대제국의 분할(843년),"2. 통일 신라의 꽃, 흥덕왕의 즉위(826년)",3. 아바스 왕조의 성립(750년),4. 백색 테러의 발발(796-804년) ,5. 달마 대사의 입적(820년),
Korean,anthropic,800," 800년에 일어난 중요한 5가지 역사적 사건:

1. 카롤루스 대제의 사망과 프랑크 왕국의 분리

2. 단가케 산 시세(山岳時代)의 시작 

3. 하루노모리의 난

4. 코트로의 전투

5. 한대의 기원", 800년에 일어난 중요한 5가지 역사적 사건:,1. 카롤루스 대제의 사망과 프랑크 왕국의 분리,2. 단가케 산 시세(山岳時代)의 시작 ,3. 하루노모리의 난,4. 코트로의 전투,5. 한대의 기원,
Korean,anthropic,800," 800년대의 중대한 역사적 사건 다섯 가지:

1. 생 토마스 아퀴나스의 탄생 (1225년)

2. 몽골 제국의 성립 (1206년)

3. 십자군 전쟁의 발발 (1095년)

4. 성 프란시스코 생존 기간 (1182-1226년)  

5. 잉글랜드의 매그나 카르타 시대의 시작 (1215년)", 800년대의 중대한 역사적 사건 다섯 가지:,1. 생 토마스 아퀴나스의 탄생 (1225년),2. 몽골 제국의 성립 (1206년),3. 십자군 전쟁의 발발 (1095년),4. 성 프란시스코 생존 기간 (1182-1226년)  ,5. 잉글랜드의 매그나 카르타 시대의 시작 (1215년),
Korean,anthropic,1271," 1271년에 일어난 중요한 5가지 역사적 사건:

1. 마르코 폴로의 동양 여행 
2. 몽골 제국의 칸 예카이가 즉위
3. 신석기 시대(석기 시대 말기)가 끝남
4. 에드워드 1세가 잉글랜드 왕위에 오르다
5. 꼼호르 공화국이 건국됨", 1271년에 일어난 중요한 5가지 역사적 사건:,1. 마르코 폴로의 동양 여행 ,2. 몽골 제국의 칸 예카이가 즉위,3. 신석기 시대(석기 시대 말기)가 끝남,4. 에드워드 1세가 잉글랜드 왕위에 오르다,5. 꼼호르 공화국이 건국됨,
Korean,anthropic,1271," 1271년 중대한 역사적 사건 다섯 가지:

1. 마르코 폴로의 동아시아 여행 
2. 쿠빌라이 칸의 대몽골 제국 창설
3. 에도 성(江戶城)의 완성
4. 스페인의 알폰소 10세가 카스티야 왕위 계승 
5. 시메리아 이탈리아 공화국 설립", 1271년 중대한 역사적 사건 다섯 가지:,1. 마르코 폴로의 동아시아 여행 ,2. 쿠빌라이 칸의 대몽골 제국 창설,3. 에도 성(江戶城)의 완성,4. 스페인의 알폰소 10세가 카스티야 왕위 계승 ,5. 시메리아 이탈리아 공화국 설립,
Korean,anthropic,1271," 1271년에 일어난 중요한 5가지 역사적 사건들:

1. 마르코 폴로의 중국 여행 
2. 몽골 제국의 칸 쿠빌라이가 중국의 원나라를 세움
3. 신성 로마 제국의 최초의 황제 루돌프 1세가 즉위
4. 알프스 이남의 지중해 지역에서 시칠리아 왕국이 레파ント에 승리 
5. 성녀 자카리아가 볼로냐 대학교를 설립", 1271년에 일어난 중요한 5가지 역사적 사건들:,1. 마르코 폴로의 중국 여행 ,2. 몽골 제국의 칸 쿠빌라이가 중국의 원나라를 세움,3. 신성 로마 제국의 최초의 황제 루돌프 1세가 즉위,4. 알프스 이남의 지중해 지역에서 시칠리아 왕국이 레파ント에 승리 ,5. 성녀 자카리아가 볼로냐 대학교를 설립,
Korean,anthropic,1271," 1271년에 일어난 중대한 5가지 역사적 사건:

1. 원나라의 수도 옮기기 (타슈켄트로)
2. 오스만 제국 창건
3. 마르코 폴로의 유럽 여행 
4. 제2차 십자군 전쟁 종결
5. 카라콧 왕조의 등장 (인도)", 1271년에 일어난 중대한 5가지 역사적 사건:,1. 원나라의 수도 옮기기 (타슈켄트로),2. 오스만 제국 창건,3. 마르코 폴로의 유럽 여행 ,4. 제2차 십자군 전쟁 종결,5. 카라콧 왕조의 등장 (인도),
Korean,anthropic,1271," 1271년의 중요한 5가지 사건:

1. 원나라가 대륙에서 물러난다(원의 퇴각)
2. 마르코 폴로의 중국 여행 
3. 제1차 연합왕조의 형성(고려 왕조와 원나라의 연합)
4. 몽골의 칸 오고따이가 사망함.
5. 시민 헌장 체결(영국)", 1271년의 중요한 5가지 사건:,1. 원나라가 대륙에서 물러난다(원의 퇴각),2. 마르코 폴로의 중국 여행 ,3. 제1차 연합왕조의 형성(고려 왕조와 원나라의 연합),4. 몽골의 칸 오고따이가 사망함.,5. 시민 헌장 체결(영국),
Korean,anthropic,1392," 1392년에 일어난 중요한 5개의 역사적 사건들:

1. 조선 개국 
2. 명나라의 황제 정운이 즉위
3. 라이히스타그의 설립
4. 요크 가문의 왕위 계승 전쟁이 일어남
5. 이탈리아 전쟁에서 베네치아가 제노아를 무찌르다", 1392년에 일어난 중요한 5개의 역사적 사건들:,1. 조선 개국 ,2. 명나라의 황제 정운이 즉위,3. 라이히스타그의 설립,4. 요크 가문의 왕위 계승 전쟁이 일어남,5. 이탈리아 전쟁에서 베네치아가 제노아를 무찌르다,
Korean,anthropic,1392," 1392년에 중대한 다섯 가지 역사적 사건:

1. 조선왕조의 성립(조선개국)

2. 강간종의 난

3. 조선 개국의 주역 홍건적의 난

4. 명나라의 정종이 즉위

5. 오스만 제국의 베야지드 1세가 즉위", 1392년에 중대한 다섯 가지 역사적 사건:,1. 조선왕조의 성립(조선개국),2. 강간종의 난,3. 조선 개국의 주역 홍건적의 난,4. 명나라의 정종이 즉위,5. 오스만 제국의 베야지드 1세가 즉위,
Korean,anthropic,1392," 1392년에 일어난 다섯 가지 중요한 역사적 사건:

1. 조선의 개국 
2. 몽골의 대원정
3. 십자군 전쟁 
4. 오스만 제국의 확장
5. 잉글랜드의 왕위 계승 전쟁", 1392년에 일어난 다섯 가지 중요한 역사적 사건:,1. 조선의 개국 ,2. 몽골의 대원정,3. 십자군 전쟁 ,4. 오스만 제국의 확장,5. 잉글랜드의 왕위 계승 전쟁,
Korean,anthropic,1392," 1392년에 있었던 중요한 5가지 역사적 사건:

1. 조선王朝의 건국 (조선시대 개막)
2. 고려왕조의 멸망
3. 개경(開京) → 한성(漢城) 명칭 변경 
4. 조선 왕조의 초대 왕 태조 이성계 즉위
5. 조선왕조의 수도 한성으로 이전", 1392년에 있었던 중요한 5가지 역사적 사건:,1. 조선王朝의 건국 (조선시대 개막),2. 고려왕조의 멸망,3. 개경(開京) → 한성(漢城) 명칭 변경 ,4. 조선 왕조의 초대 왕 태조 이성계 즉위,5. 조선왕조의 수도 한성으로 이전,
Korean,anthropic,1392," 1392년에 일어난 중대한 5개의 역사적 사건:

1. 조선 개국
2. 고려 말기의 정변(정몽주의 난) 
3. 몽골의 침공(태조의 몽골 정벌)
4. 개신교(가톨릭교회)의 유입
5. 세종의 즉위", 1392년에 일어난 중대한 5개의 역사적 사건:,1. 조선 개국,2. 고려 말기의 정변(정몽주의 난) ,3. 몽골의 침공(태조의 몽골 정벌),4. 개신교(가톨릭교회)의 유입,5. 세종의 즉위,
Korean,anthropic,1492," 1492년에 일어난 다섯 가지 중대한 역사적 사건들:

1. 콜럼버스의 아메리카 대륙 발견 
2. 스페인의 그란아다 정복
3. 유대인 추방령 (스페인)
4. 보르도의 학살 
5. 그린강에서의 첫 번째 선전포고", 1492년에 일어난 다섯 가지 중대한 역사적 사건들:,1. 콜럼버스의 아메리카 대륙 발견 ,2. 스페인의 그란아다 정복,3. 유대인 추방령 (스페인),4. 보르도의 학살 ,5. 그린강에서의 첫 번째 선전포고,
Korean,anthropic,1492," 1492년에 일어난 다섯 가지 중요한 역사적 사건들은:

1. 콜럼버스의 아메리카 대륙 발견 
2. 스페인의 그랜아다 정복
3. 유대인 추방령 (스페인 왕이 유대인들을 추방하라는 법령 발포)
4. 스페인이 마지막 무어족 왕국 그라나다 정복 
5. 연금술사 브랜더가 설탕 제조법 개발", 1492년에 일어난 다섯 가지 중요한 역사적 사건들은:,1. 콜럼버스의 아메리카 대륙 발견 ,2. 스페인의 그랜아다 정복,3. 유대인 추방령 (스페인 왕이 유대인들을 추방하라는 법령 발포),4. 스페인이 마지막 무어족 왕국 그라나다 정복 ,5. 연금술사 브랜더가 설탕 제조법 개발,
Korean,anthropic,1492," 1492년에 일어난 다섯 가지 중요한 역사적 사건들:

1. 콜럼버스의 아메리카 대륙 발견 
2. 스페인의 그라나다 정복
3. 유대인 추방령 (스페인)
4. 아랍의 마지막 거점인 그라나다 함락 
5. 아스테카 제국의 멸망", 1492년에 일어난 다섯 가지 중요한 역사적 사건들:,1. 콜럼버스의 아메리카 대륙 발견 ,2. 스페인의 그라나다 정복,3. 유대인 추방령 (스페인),4. 아랍의 마지막 거점인 그라나다 함락 ,5. 아스테카 제국의 멸망,
Korean,anthropic,1492," 1492년에 일어난 다섯 중대한 역사적 사건:

1. 콜럼버스의 아메리카 대륙 발견 
2. 스페인의 그라나다 정복
3. 토로 조약의 체결 (스페인과 포르투갈의 식민지 분할)
4. 유대인 추방령 (스페인에서)
5. 보르고뉴 여공 제임스의 즉위 (프랑스)", 1492년에 일어난 다섯 중대한 역사적 사건:,1. 콜럼버스의 아메리카 대륙 발견 ,2. 스페인의 그라나다 정복,3. 토로 조약의 체결 (스페인과 포르투갈의 식민지 분할),4. 유대인 추방령 (스페인에서),5. 보르고뉴 여공 제임스의 즉위 (프랑스),
Korean,anthropic,1492," 1492년에 있었던 중요한 역사적 사건 다섯 가지:

1. 콜럼버스의 아메리카 대륙 발견
2. 스페인의 토데마 왕국 정복 
3. 그라나다 정복
4. 유대인 추방령 (알갱볼 하에)
5. 블라디미르 대공의 모스크바 정복", 1492년에 있었던 중요한 역사적 사건 다섯 가지:,1. 콜럼버스의 아메리카 대륙 발견,2. 스페인의 토데마 왕국 정복 ,3. 그라나다 정복,4. 유대인 추방령 (알갱볼 하에),5. 블라디미르 대공의 모스크바 정복,
Korean,anthropic,1648," 1648년에 일어난 다섯 가지 중요한 역사적 사건:

1. 웨스트팰리아 화평조약

2. 잉글랜드 내전

3. 요크 공작 찰스 1세 처형 

4. 가톨릭 교회 개혁

5. 중국 명나라 말기의 난", 1648년에 일어난 다섯 가지 중요한 역사적 사건:,1. 웨스트팰리아 화평조약,2. 잉글랜드 내전,3. 요크 공작 찰스 1세 처형 ,4. 가톨릭 교회 개혁,5. 중국 명나라 말기의 난,
Korean,anthropic,1648," 1648년의 중요한 5개의 역사적 사건:

1. 프랑스 내전(The Fronde civil war) 
2.  화살구조화(Treaty of Westphalia)
3.  명 말기의 병자호란(Manchu invasion of China)
4.  코몽웰스 영국의 설립(Establishment of the Commonwealth of England)
5.  우크라이나의 호멜 담화(Treaty of Zboriv)", 1648년의 중요한 5개의 역사적 사건:,1. 프랑스 내전(The Fronde civil war) ,2.  화살구조화(Treaty of Westphalia),3.  명 말기의 병자호란(Manchu invasion of China),4.  코몽웰스 영국의 설립(Establishment of the Commonwealth of England),5.  우크라이나의 호멜 담화(Treaty of Zboriv),
Korean,anthropic,1648," 1648년의 중요한 5개 역사적 사건:

1. 웨스트팔리아 조약
2. 잉글랜드 내전
3. 프랑스 평신도 전쟁 
4. 러시아 정변
5. 명명된 회의(Putney Debates)", 1648년의 중요한 5개 역사적 사건:,1. 웨스트팔리아 조약,2. 잉글랜드 내전,3. 프랑스 평신도 전쟁 ,4. 러시아 정변,5. 명명된 회의(Putney Debates),
Korean,anthropic,1648," 1648년에 일어난 다섯 가지 중요한 역사적 사건:

1. 위스트팔리아 평화조약
2. 프랑스 내전 종료 
3. 콜롬버스와 지중해를 연결하는 운하 건설 시작
4. 러시아 제국 설립
5. 중국 명나라의 몰락", 1648년에 일어난 다섯 가지 중요한 역사적 사건:,1. 위스트팔리아 평화조약,2. 프랑스 내전 종료 ,3. 콜롬버스와 지중해를 연결하는 운하 건설 시작,4. 러시아 제국 설립,5. 중국 명나라의 몰락,
Korean,anthropic,1648," 1648년 중대한 역사적 사건 다섯 가지:

1. 웨스트팔리아 조약
2. 잉글랜드 내전 
3. 피레네 산발적 반란
4. 명나라의 횃불의 밤
5. 우크라이나의 카즈미르 시대의 끝", 1648년 중대한 역사적 사건 다섯 가지:,1. 웨스트팔리아 조약,2. 잉글랜드 내전 ,3. 피레네 산발적 반란,4. 명나라의 횃불의 밤,5. 우크라이나의 카즈미르 시대의 끝,
Korean,anthropic,1776," 1. 미국 독립선언

2. 보스턴 학살 사건 

3. 사라토가 전투

4. 미국 독립 전쟁 시작

5. 조지 워싱턴이 최초의 미국 대통령으로 선출됨", 1. 미국 독립선언,2. 보스턴 학살 사건 ,3. 사라토가 전투,4. 미국 독립 전쟁 시작,5. 조지 워싱턴이 최초의 미국 대통령으로 선출됨,,
Korean,anthropic,1776," 1. 미국 독립선언

2. 미국 독립 전쟁 발발 

3. 워싱턴 총사령관 지명

4. 토머스 페인의 『상식』 출간

5. 보스턴 학살 사건", 1. 미국 독립선언,2. 미국 독립 전쟁 발발 ,3. 워싱턴 총사령관 지명,4. 토머스 페인의 『상식』 출간,5. 보스턴 학살 사건,,
